Thig1.1	14647
Thig1.2	14648
Thig1.3	14649
Thig1.4	14650
Thig1.5	14651
Thig1.6	14652
Thig1.7	14653
Thig1.8	14654
Thig1.9	14655
Thig1.10	14656
Thig1.11	14657
Thig1.12	14658
Thig1.13	14659
Thig1.14	14660
Thig1.15	14661
Thig1.16	14662
Thig1.17	14663
Thig1.18	14664
Thig2.1	14712
Thig2.2	14713
Thig2.3	14714
Thig2.4	14715
Thig2.5	14716
Thig2.6	14717
Thig2.7	14718
Thig2.8	14719
Thig2.9	14720
Thig2.10	14721
Thig3.1	14746
Thig3.2	14747
Thig3.3	14748
Thig3.4	14749
Thig3.5	14750
Thig3.6	14751
Thig3.7	14752
Thig3.8	14753
Thig4.1	13592
Thig5.1	14774
Thig5.2	14775
Thig5.3	14776
Thig5.4	14777
Thig5.5	14778
Thig5.6	14779
Thig5.7	14780
Thig5.8	14781
Thig5.9	14782
Thig5.10	14784
Thig5.11	14783
Thig5.12	14785
Thig6.1	14819
Thig6.2	14820
Thig6.3	14821
Thig6.4	14822
Thig6.5	14823
Thig6.6	14824
Thig6.7	14825
Thig6.8	14826
Thig7.1	14856
Thig7.2	14857
Thig7.3	14858
Thig8.1	13601
Thig9.1	13603
Thig10.1	13605
Thig11.1	13607
Thig12.1	13609
Thig13.1	14875
Thig13.2	14876
Thig13.3	14877
Thig13.4	14879
Thig13.5	14878
Thig14.1	13613
Thig15.1	13615
Thig16.1	15562
